ID;EMPRENDIMENTO;Bairro;Endereço;Nº da unidade;Área Privativa (m2);N˚ Dorms.;Nº Suítes;N˚ Vagas;Ano Const.;Observações;Valor Condomínio;Valor IPTU;Valor de venda (R$);Valor M2 (R$ / m2);Link das Fotos sem marca d´água
601251086-375;BK;Santo Amaro;Coronel Luís Barroso, 392;205;32;1;0;0;2016;Maravilhoso estúdio em Santo Amaro;R$ 640,00;R$ 980,00;R$ 430.000,00;R$ 13.437,50;https://drive.google.com/drive/folders/1o2B20zBinV382ny9DzWoWYpdqOUy1DZB
601331069-2;Ravena ;Sumarezinho;Heitor Penteado, 250;83;125;3;1;1;1973;Maravilhoso apartamento no Sumarezinho ;R$ 1.206,00;R$ 2.442,00;R$ 1.300.000,00;R$ 10.400,00;https://drive.google.com/drive/folders/1f24Vpd2P8hR6DcEBMuNZCivsiELQd0ld
601251306-41;Casa/sobrado ;Tucuruvi ;Guapira, 280;282;116;2;0;2;1975;Ótima casa/sobrado no Tucuruvi ;R$ 0,00;R$ 2.974,00;R$ 400.000,00;R$ 3.448,28;https://drive.google.com/drive/folders/185OeC9aYBPuh1uVTCeB9HzchYTyOlASA
601251037-66;Palacete Dom João V;Alto da Lapa;Dom João V, 408;34;81;2;1;1;1976;Lindo apartamento no Alto da Lapa ;R$ 888,00;R$ 1.831,00;R$ 720.000,00;R$ 8.888,89;https://drive.google.com/drive/folders/13IAQygA4S9__QkGQETxP4IY7nCHyuziG
601251044-68;Shangrilá;Parque Xangrilá - Campinas ;Amílcar Perina, 13;x;476;3;1;6;1989;Maravilhosa casa de condomínio no Parque Xangrilá/Campinas ;R$ 1.050,00;R$ 14.235,00;R$ 1.950.000,00;R$ 4.096,64;https://drive.google.com/drive/folders/1q9t7eWiLRXDSsi7YSvLjW2Ahar6iD_TO
601181054-84;Sobrado comercial;Jardim Miriam ;Vale da macieira, 4 ;Lote 3 e 4 ;121;3;0;20;1975;Ótimo sobrado comercial para venda no Jardim Miriam ;R$ 0,00;R$ 96,00;R$ 1.100.000,00;R$ 9.090,91;https://drive.google.com/drive/folders/15FLzZArlQU35uk5uXQVuiu2-8lnuo9HS
601181054-88;Jardim de Mermier/Bosque da Saúde ;Bosque da Saúde ;Itaboraí, 109;131;113;3;1;2;2007;Maravilhoso apartamento na Bosque da Saúde ;R$ 1.160,00;R$ 5.921,00;R$ 1.398.000,00;R$ 12.371,68;https://drive.google.com/drive/folders/1HPNy3sjBlUFS76faDqvx-GVJRY5m6uF7
601251044-61;Casa;Praia dos Pescadores - Itanhaém/SP ;Sebastião das Dores, 71;x;150;5;0;2;1955;Maravilhosa casa na Praia dos Pescadores - Itanhaém/SP;R$ 0,00;R$ 3.275,00;R$ 390.000,00;R$ 2.600,00;https://drive.google.com/drive/folders/1013hepdosemqQp8DIiiEzVeEtMACcbfN
601181054-78;Air Brooklin ;Brooklin Paulista ;Santo Amaro, 4816;1014;32;1;0;1;2024;Ótimo estúdio no Brooklin Paulista ;R$ 435,00;R$ 1.242,00;R$ 480.000,00;R$ 15.000,00;https://drive.google.com/drive/folders/143zTPGb1fAdmkHOMzR3KWgwye5qrppoN
601251299-13;Mansão Marsine;Santa Paula - São Caetano do Sul / SP ;Maranhão, 982;172;590;6;6;6;1995;Maravilhosa cobertura em Santa Paula - São Caetano do Sul / SP ;R$ 5.200,00;R$ 8.765,00;R$ 5.500.000,00;R$ 9.322,03;https://drive.google.com/drive/folders/1ZGilag3WNLU_LWFySp1ATvlRiAxRDaFM
602011024-36;Jurubatuba Empresarial;Centro - São Bernardo do Campo ;Jurubatuba, 1350;sala 1010 ;45;0;0;1;2016;Maravilhosa sala comercial no Centro de São Bernardo do Campo;R$ 645,00;R$ 2.610,00;R$ 424.000,00;R$ 9.422,22;https://drive.google.com/drive/folders/1ILsGf79jWhmSXH3v--W2e5TX04S_oTgn
601251165-145;Vera Ligia ;Liberdade ;Tamandaré, 717;27;71;2;0;0;1970;Ótimo apartamento na Liberdade ;R$ 840,00;R$ 0,00;R$ 540.000,00;R$ 7.605,63;https://drive.google.com/drive/folders/1D5BKpR5F5xzCtA2qyYHybYkgkEagqix3
601251154-1;Next Sky;Parque Arariba;Carlos Leite dos Santos, 300;14 B;41;2;0;1;2020;Ótimo apartamento no Parque Araribe ;R$ 684,00;R$ 0,00;R$ 299.000,00;R$ 7.292,68;https://drive.google.com/drive/folders/1YuPe6rx7YfJfWrCNjCpXx3eNKcPllmM6
601251299-11;First Place ;Vila Nova Conceição;Balthazar da Veiga, 592;112;35;1;0;1;1993;Ótimo apartamento na Vila Nova Conceição ;R$ 1.515,00;R$ 2.179,00;R$ 520.000,00;R$ 14.857,14;https://drive.google.com/drive/folders/1gSyUgkHpLvoEmCOXYj_nsmLX_2RUSCxG
601251299-17;Palazzo Gritti;Vila Nova Conceição;Gararu, 140;701;47;1;1;1;1980;Maravilhoso flat na Vila Nova Conceição ;R$ 2.456,00;R$ 2.032,00;R$ 520.000,00;R$ 11.063,83;https://drive.google.com/drive/folders/1_EJRkS2LqHpoYqAhcySmguPBlUmYZ3UN
601251299-10;Málaga;Bela Vista ;Frei Caneca, 940;34;35;1;1;1;1988;Ótimo apartamento na Bela Vista ;R$ 1.031,00;R$ 286,00;R$ 410.000,00;R$ 11.714,29;https://drive.google.com/drive/folders/1zKpTZZpEhcFSywhezUjyNSGFnHhM9bTI
601251187-3;Haute Brooklin ;Chácara Santo Antônio (Zona Sul);Estilo Barroco, 721;142;185;4;3;3;2025;Maravilhoso apartamento na Chácara Santo Antônio (Zona Sul) ;R$ 2.770,00;R$ 0,00;R$ 2.800.000,00;R$ 15.135,14;https://drive.google.com/drive/folders/1105zfGNvaN-JB_4M4F3pc5RkR_Wk9o6J
601251299-9;Casa;Vila Rosália - Guarulhos/SP;Travessa Efe, 31;x;427;4;4;4;2021;Maravilhosa casa de vila na Vila Rosália em Guarulhos/SP;R$ 0,00;R$ 3.000,00;R$ 3.198.000,00;R$ 7.489,46;https://drive.google.com/drive/folders/1ZsxxL762Y8kKtsNYFFJkPYbJ4OP9HlGd
 601251038-31;Casa;City América;Sicano, nº 168;x;440;4;;;2013;Perfeita casa na City América;x;R$ 8.700,00;R$ 2.650.000,00;R$ 6.022,73;https://drive.google.com/drive/folders/1LmimO11Q6gc3h57wWHsFmKcgBC1buFJ5?usp=sharing
601251315-51;Casa ;Pacaembu ;Bragança, 161;x;300;3;3;5;1964;Maravilhosa casa no Pacaembu ;R$ 0,00;R$ 28.901,00;R$ 3.690.000,00;R$ 12.300,00;https://drive.google.com/drive/folders/14C2JESLxZ_Y0IxvPC-HzSnw7N5VNCfzu
601251299-15;Kalon;Jardim - Santo André / SP ;Caneleiras, 653;141;408;4;4;6;2015;Maravilhoso apartamento no bairro Jardim - Santo André / SP;R$ 5.404,00;R$ 21.568,00;R$ 6.400.000,00;R$ 15.686,27;https://drive.google.com/drive/folders/1ku1PPUtMuf5kLWqvyaGpfyBaGj8vINEp
601251299-12;Kalon;Jardim - Santo André / SP ;Caneleiras, 653;151;408;4;4;5;2015;Maravilhoso apartamento no bairro Jardim - Santo André / SP;R$ 5.404,00;R$ 21.568,00;R$ 6.000.000,00;R$ 14.705,88;https://drive.google.com/drive/folders/1NerTnpiASSjEfrUieThEafXtwgK5lqyX
601181003-112;Tate Real Parque;Real Parque;São Paulo Antigo, 467;23 A;87;3;1;2;2015;Maravilhoso apartamento no Real Parque ;R$ 2.200,00;R$ 7.587,00;R$ 1.090.000,00;R$ 12.528,74;https://drive.google.com/drive/folders/1u7YfLgLpg6TWlwRIOzGWyjuFFBQDrAa9
601251165-112;NIK Paradiso PLANIK;Vila Mariana;Vergueiro, 1825;303;27;1;0;0;2025;Ótimo apartamento na Vila Mariana ;R$ 900,00;R$ 1.000,00;R$ 330.000,00;R$ 12.222,22;https://drive.google.com/drive/folders/1L5HcZ75_4vtMlSTryUtx5opEJZ1-yBYF
601251043-91;Casa ;Brooklin Paulista;Tacoma, 30;x;263;3;2;3;1977;Maravilhosa casa no Brooklin Paulista ;R$ 0,00;R$ 11.409,00;R$ 1.490.000,00;R$ 5.665,40;https://drive.google.com/drive/folders/10Kr2Dxt0TbDS88SY6H35y9REAKqwluim
601251084-276;You, Collection João Moura ;Pinheiros ;João Moura, 429;54 B;58;2;1;1;2020;Ótimo apartamento em Pinheiros ;R$ 1.250,00;R$ 2.210,00;R$ 1.199.998,00;R$ 20.689,62;https://drive.google.com/drive/folders/1hgfyCh__cDmDxP2PXQfE18hH8Mxd7jxi
601251084-277;São Judas Tadeu ;Vila Mariana ;Topázio, 478;3;101;2;1;0;1952;Ótimo apartamento na Vila Mariana ;R$ 1.053,00;R$ 57,56;R$ 510.000,00;R$ 5.049,50;https://drive.google.com/drive/folders/1ackfpLhFXphRyDo8n33eok5x-hYqaNug
601181054-75;Drogasil;Centro de São Caetano do Sul / SP;Manoel Coelho, 356;12;42;0;0;0;1980;Ótimo conjunto comercial/sala no centro de São Caetano do Sul/SP;R$ 620,00;R$ 2.537,00;R$ 265.000,00;R$ 6.309,52;https://drive.google.com/drive/folders/1xkE0n9Q8gNSFVEL5yOCCqsYTtJslFNiS
601251152-27;Solar dos Manacás ;Alto da Boa Vista;Mariano da Costa, 28;casa 3 ;428;5;5;3;2020;Maravilhosa casa de condomínio no Alto da Boa Vista ;R$ 1.772,00;R$ 16.195,00;R$ 2.998.000,00;R$ 7.004,67;https://drive.google.com/drive/folders/1gzEVqWrPZL2-DQCoZ8H3jPbS2E18El7h
601181010-34;Today Pinheiros ;Pinheiros ;Cardeal Arcoverde, 2004;512;25;1;1;0;2023;Ótimo estúdio em Pinheiros ;R$ 617,00;R$ 0,00;R$ 350.000,00;R$ 14.000,00;https://drive.google.com/drive/folders/1MroFdJjyjvRu8aFpKNxaOQsoCX5Ma0Rg
601251044-58;Maria De La Paz ;Balneário Regina Maria - Mongaguá ;Governador Mário Covas Júnior, 9140;74;52;1;0;1;2005;Ótimo apartamento no Balneário Regina Maria - Mongaguá ;R$ 458,00;R$ 2.228,00;R$ 260.000,00;R$ 5.000,00;https://drive.google.com/drive/folders/1HtLa2mN4C5tRGOdGJu77ll0OYbUsC5BS
601251165-113;NIK Paradiso PLANIK;Vila Mariana ;Vergueiro, 1825;304;27;1;0;0;2011;Ótimo aparatamento na Vila Mariana ;R$ 900,00;R$ 1.000,00;R$ 330.000,00;R$ 12.222,22;https://drive.google.com/drive/folders/1fkaQPHB_5WV5QHbuUq4xvtOD43Fw6KAb
601181012-27;Alexandre;Pinheiros ;Fernão Dias, 8;62;128;3;0;1;1967;Maravilhoso apartamento em Pinheiros ;R$ 1.691,00;R$ 100,00;R$ 1.420.000,00;R$ 11.093,75;https://drive.google.com/drive/folders/12FvFvG2ZS3MwCK08HWMBoi5Aodzrllxd
601251114-46;Casa Branca ;Jardim Paulista ;Alameda Casa Branca, 1111;201;249;3;1;2;1964;Maravilhoso apartamento no Jardim Paulista ;R$ 5.879,00;R$ 12.735,00;R$ 4.200.000,00;R$ 16.867,47;https://drive.google.com/drive/folders/1kSm5rqh_fatJ0-nM3am1GZtRfMKWyMZD
601251084-227;VN Ueno;Bela Vista;Barata Ribeiro, 108;715;18;1;1;0;2022;Lindo estúdio na Bela Vista ;R$ 630,00;R$ 0,00;R$ 320.000,00;R$ 17.777,78;https://drive.google.com/drive/folders/1mUv6IMJZei0r1yd1J4Zz_oC5XBGl1Vty
601331082-9;Collina ;Vila Andrade ;José Carlos de Toledo Piza, 150;254 A;104;3;1;2;2014;Maravilhosa cobertura na Vila Andrade ;R$ 805,00;R$ 3.405,00;R$ 849.000,00;R$ 8.163,46;https://drive.google.com/drive/folders/1hszdfwIxgOW1TepS3PUGolfMAWNBUucT
601331003-45;Maison Cheverny;Vila Suzana ;Custódio de Oliveira, 320;8;199;4;3;3;2000;Maravilhoso apartamento na Vila Suzana ;R$ 4.054,00;R$ 11.941,00;R$ 600.000,00;R$ 3.015,08;https://drive.google.com/drive/folders/1CK7rokPwcTNR_UeWH7m6izjDVoCA6yfs
601331003-43;Grotta Azzurra;Vila Suzana ;Doutor Guilherme Dumont Vilares, 601;151;155;3;3;3;1992;Maravilhoso apartamento na Vila Suzana ;R$ 2.814,00;R$ 9.250,00;R$ 720.000,00;R$ 4.645,16;https://drive.google.com/drive/folders/1mNLtT7JsPuLYueeqlp4l51nTKUIB_A4-
